game_index,ply,side,san,uci,top1_uci,top1_prob,top2_uci,top2_prob,top3_uci,top3_prob
7,15,W,Rb1,a1b1,a1b1,0.7171717171717171,g3g7,0.010101010101010102,g3g6,0.010101010101010102
7,16,B,e4,e5e4,,,,,,
7,17,W,Kd1,e1d1,e1d1,0.7171717171717171,g3g7,0.010101010101010102,g3g6,0.010101010101010102
7,18,B,Bxg3,d6g3,,,,,,
7,19,W,Ra1,b1a1,b1a1,0.8282828282828283,a3b5,0.010101010101010102,a3c4,0.010101010101010102
7,20,B,dxc2+,d3c2,,,,,,
7,21,W,Ke1,d1e1,d1e1,0.494949494949495,a3c2,0.2727272727272727,d1c2,0.2222222222222222
7,22,B,Bxf2+,g3f2,,,,,,
7,23,W,Kf1,e1f1,e1f1,0.5353535353535354,e1e2,0.46464646464646464,e1f2,0.0
7,24,B,Bh4,f2h4,,,,,,
7,25,W,Rb1,a1b1,a1b1,0.8484848484848485,a3b5,0.010101010101010102,a3c4,0.010101010101010102
7,26,B,cxb1=B,c2b1b,,,,,,
7,27,W,d3,d2d3,d2d3,0.8585858585858586,a3b5,0.010101010101010102,a3c4,0.010101010101010102
7,28,B,Qxd3+,d8d3,,,,,,
7,29,W,Ne2,g1e2,g1e2,1.0,,,,
7,30,B,Qd1#,d3d1,,,,,,
8,1,W,h3,h2h3,h2h3,0.25252525252525254,g1h3,0.15151515151515152,b1a3,0.15151515151515152
8,2,B,e5,e7e5,,,,,,
8,3,W,Rh2,h1h2,h1h2,0.20202020202020202,b1a3,0.20202020202020202,b1c3,0.16161616161616163
8,4,B,Nc6,b8c6,,,,,,
8,5,W,Nc3,b1c3,b1c3,0.2222222222222222,h2h1,0.21212121212121213,b1a3,0.18181818181818182
8,6,B,d5,d7d5,,,,,,
8,7,W,Rb1,a1b1,a1b1,0.41414141414141414,c3e4,0.15151515151515152,h2h1,0.10101010101010101
8,8,B,d4,d5d4,,,,,,
8,9,W,f4,f2f4,f2f4,0.2222222222222222,h2h1,0.20202020202020202,a2a4,0.20202020202020202
8,10,B,dxc3,d4c3,,,,,,
8,11,W,fxe5,f4e5,f4e5,0.5858585858585859,e1f2,0.25252525252525254,h2h1,0.010101010101010102
8,12,B,cxd2+,c3d2,,,,,,
8,13,W,Qxd2,d1d2,d1d2,0.5656565656565656,e1f2,0.43434343434343436,c1d2,0.0
8,14,B,Qh4+,d8h4,,,,,,
8,15,W,g3,g2g3,g2g3,0.98989898989899,e1d1,0.010101010101010102,,
8,16,B,Qxg3+,h4g3,,,,,,
8,17,W,Rf2,h2f2,h2f2,0.98989898989899,e1d1,0.010101010101010102,,
8,18,B,Be6,c8e6,,,,,,
8,19,W,Qf4,d2f4,d2f4,0.7373737373737373,d2d8,0.010101010101010102,d2d7,0.010101010101010102
8,20,B,Qxf4,g3f4,,,,,,
8,21,W,Bxf4,c1f4,c1f4,0.8080808080808081,f2f4,0.010101010101010102,f2f3,0.010101010101010102
8,22,B,Nge7,g8e7,,,,,,
8,23,W,Bg3,f4g3,f4g3,0.7474747474747475,f4h6,0.010101010101010102,f4g5,0.010101010101010102
8,24,B,Ng6,e7g6,,,,,,
8,25,W,a3,a2a3,a2a3,0.7474747474747475,g3h4,0.010101010101010102,g3f4,0.010101010101010102
8,26,B,O-O-O,e8c8,,,,,,
8,27,W,Rc1,b1c1,b1c1,0.7777777777777778,g3h4,0.010101010101010102,g3f4,0.010101010101010102
